id,questions
1,Là con trai phải không?
2,Là con gái phải không?
3,Có biết tiếng Nhật không? (Tiếng Nhật thành thạo)
4,Có biết đá bóng không?
5,Có hay mang cơm đi ăn trưa không?
6,Có gia đình chưa?
7,Có phải người Bắc Ninh không?
8,Có thích PS không?
9,Có cao không?
10,Có màn hình không?
11,Có dùng dell không? (Máy tính công ty cấp)
12,Có đi làm bằng xe máy không?
13,Có con chưa?
14,Sinh năm 1990 phải không?
15,Có chơi Clash of Clans không?
16,Có hay đi làm muộn không?
17,Có chuẩn Men không?
18,Là leader đúng không?
19,Đã học trường Đh Bách Khoa phải không?
